[METRICS] Class 05: Dice=0.3278 | Jaccard=0.3031 | HD95=13.2920
[METRICS] Class 06: Dice=0.0068 | Jaccard=0.0058 | HD95=0.7380
[METRICS] Class 07: Dice=0.2311 | Jaccard=0.2139 | HD95=7.7972
[METRICS] Class 08: Dice=0.2339 | Jaccard=0.2071 | HD95=5.0660
Epoch 8, Loss=0.924740, Loss_SEG=0.051203, Loss_DICE=0.873538
[METRICS] Macro Dice=0.2088 | Jaccard=0.1905 | HD95=4.7420
[METRICS] Class 01: Dice=0.4333 | Jaccard=0.3880 | HD95=2.1008
[METRICS] Class 02: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 03: Dice=0.1916 | Jaccard=0.1723 | HD95=7.1447
[METRICS] Class 04: Dice=0.2054 | Jaccard=0.1899 | HD95=8.7063
[METRICS] Class 05: Dice=0.3487 | Jaccard=0.3269 | HD95=8.1410
[METRICS] Class 06: Dice=0.0205 | Jaccard=0.0168 | HD95=0.8699
[METRICS] Class 07: Dice=0.2249 | Jaccard=0.2049 | HD95=5.3716
[METRICS] Class 08: Dice=0.2463 | Jaccard=0.2250 | HD95=5.6016
Epoch 9, Loss=0.923594, Loss_SEG=0.050739, Loss_DICE=0.872855
[METRICS] Macro Dice=0.2130 | Jaccard=0.1937 | HD95=5.1009
[METRICS] Class 01: Dice=0.3914 | Jaccard=0.3499 | HD95=2.6327
[METRICS] Class 02: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 03: Dice=0.2021 | Jaccard=0.1812 | HD95=5.1285
[METRICS] Class 04: Dice=0.2134 | Jaccard=0.1939 | HD95=5.9037
[METRICS] Class 05: Dice=0.3807 | Jaccard=0.3539 | HD95=11.1002
[METRICS] Class 06: Dice=0.0142 | Jaccard=0.0119 | HD95=1.8125
[METRICS] Class 07: Dice=0.2600 | Jaccard=0.2445 | HD95=7.4157
[METRICS] Class 08: Dice=0.2426 | Jaccard=0.2144 | HD95=6.8139
Epoch 10, Loss=0.913299, Loss_SEG=0.043820, Loss_DICE=0.869479
